model,backbone,view_weight,translation_weight,task,n_samples,test_rmse_mean,test_rmse_std,test_r2_mean,test_r2_std,train_r2_mean
scratch_origtok_vw1_tw1,transpolymer,1.0,1.0,Egc,3380,0.5078,0.0065,0.8943,0.0031,0.9772
scratch_origtok_vw1_tw1,transpolymer,1.0,1.0,Egb,561,0.5677,0.0417,0.9143,0.0104,0.9786
scratch_origtok_vw1_tw1,transpolymer,1.0,1.0,Eea,368,0.3250,0.0327,0.9085,0.0207,0.9548
scratch_origtok_vw1_tw1,transpolymer,1.0,1.0,Ei,370,0.4503,0.0547,0.7848,0.0470,0.8881
scratch_origtok_vw1_tw1,transpolymer,1.0,1.0,Xc,432,18.5816,1.1188,0.3687,0.1169,0.7324
scratch_origtok_vw1_tw1,transpolymer,1.0,1.0,EPS,382,0.5512,0.0860,0.7507,0.0415,0.8671
scratch_origtok_vw1_tw1,transpolymer,1.0,1.0,Nc,382,0.0972,0.0141,0.8317,0.0276,0.8936
scratch_origtok_vw1_tw1,transpolymer,1.0,1.0,Eat,390,0.0804,0.0214,0.9486,0.0209,0.9864
