model,backbone,view_weight,translation_weight,task,n_samples,test_rmse_mean,test_rmse_std,test_r2_mean,test_r2_std,train_r2_mean
smi_ted_scratch_vw1_tw1,smi_ted,1.0,1.0,Egc,3380,0.5358,0.0259,0.8820,0.0123,0.9455
smi_ted_scratch_vw1_tw1,smi_ted,1.0,1.0,Egb,561,0.5945,0.0258,0.9050,0.0165,0.9354
smi_ted_scratch_vw1_tw1,smi_ted,1.0,1.0,Eea,368,0.3334,0.0415,0.9035,0.0251,0.9343
smi_ted_scratch_vw1_tw1,smi_ted,1.0,1.0,Ei,370,0.4444,0.0364,0.7920,0.0290,0.8678
smi_ted_scratch_vw1_tw1,smi_ted,1.0,1.0,Xc,432,19.3624,1.0165,0.3144,0.1242,0.5908
smi_ted_scratch_vw1_tw1,smi_ted,1.0,1.0,EPS,382,0.5399,0.0649,0.7574,0.0417,0.8307
smi_ted_scratch_vw1_tw1,smi_ted,1.0,1.0,Nc,382,0.0934,0.0131,0.8426,0.0340,0.8896
smi_ted_scratch_vw1_tw1,smi_ted,1.0,1.0,Eat,390,0.0768,0.0152,0.9535,0.0153,0.9746
