model,backbone,view_weight,translation_weight,task,n_samples,test_rmse_mean,test_rmse_std,test_r2_mean,test_r2_std,train_r2_mean
a10_targeted_mm_vw2p0_tw1p0,mmpolymer,2.0,1.0,Eat,390,0.0776,0.0342,0.9507,0.0366,0.9937
a10_targeted_trans_vw1p0_tw1p0,transpolymer,1.0,1.0,Egc,3380,0.4375,0.0180,0.9215,0.0062,0.9908
a10_targeted_trans_vw1p0_tw1p0,transpolymer,1.0,1.0,Egb,561,0.5227,0.0292,0.9273,0.0077,0.9828
a10_targeted_trans_vw1p0_tw1p0,transpolymer,1.0,1.0,Eea,368,0.3168,0.0292,0.9140,0.0136,0.9698
a10_targeted_trans_vw1p0_tw1p0,transpolymer,1.0,1.0,Ei,370,0.4222,0.0352,0.8131,0.0197,0.9409
a10_targeted_trans_vw1p0_tw1p0,transpolymer,1.0,1.0,Xc,432,17.7398,0.9993,0.4183,0.1358,0.6983
a10_targeted_trans_vw1p0_tw1p0,transpolymer,1.0,1.0,EPS,382,0.5493,0.0909,0.7538,0.0380,0.8898
a10_targeted_trans_vw1p0_tw1p0,transpolymer,1.0,1.0,Nc,382,0.0965,0.0159,0.8333,0.0352,0.9267
a10_targeted_trans_vw1p0_tw1p0,transpolymer,1.0,1.0,Eat,390,0.0756,0.0309,0.9540,0.0314,0.9933
a10_targeted_trans_vw1p0_tw2p0,transpolymer,1.0,2.0,Egc,3380,0.4469,0.0236,0.9180,0.0083,0.9821
a10_targeted_trans_vw1p0_tw2p0,transpolymer,1.0,2.0,Egb,561,0.5333,0.0362,0.9244,0.0085,0.9833
a10_targeted_trans_vw1p0_tw2p0,transpolymer,1.0,2.0,Eea,368,0.2997,0.0226,0.9231,0.0106,0.9769
a10_targeted_trans_vw1p0_tw2p0,transpolymer,1.0,2.0,Ei,370,0.4243,0.0334,0.8111,0.0201,0.9417
a10_targeted_trans_vw1p0_tw2p0,transpolymer,1.0,2.0,Xc,432,17.2634,1.2642,0.4448,0.1570,0.7182
a10_targeted_trans_vw1p0_tw2p0,transpolymer,1.0,2.0,EPS,382,0.5350,0.0928,0.7649,0.0470,0.8878
a10_targeted_trans_vw1p0_tw2p0,transpolymer,1.0,2.0,Nc,382,0.1002,0.0161,0.8177,0.0447,0.9079
a10_targeted_trans_vw1p0_tw2p0,transpolymer,1.0,2.0,Eat,390,0.0766,0.0284,0.9533,0.0274,0.9903
a10_wide_search_trial_000,transpolymer,0.1,1.0,Egc,3380,0.4468,0.0150,0.9181,0.0063,0.9910
a10_wide_search_trial_000,transpolymer,0.1,1.0,Egb,561,0.5220,0.0386,0.9275,0.0088,0.9863
a10_wide_search_trial_000,transpolymer,0.1,1.0,Eea,368,0.3070,0.0247,0.9194,0.0107,0.9799
a10_wide_search_trial_000,transpolymer,0.1,1.0,Ei,370,0.4281,0.0350,0.8061,0.0308,0.9631
a10_wide_search_trial_000,transpolymer,0.1,1.0,Xc,432,17.7304,1.0860,0.4164,0.1510,0.7496
a10_wide_search_trial_000,transpolymer,0.1,1.0,EPS,382,0.5443,0.1072,0.7571,0.0576,0.9096
a10_wide_search_trial_000,transpolymer,0.1,1.0,Nc,382,0.1001,0.0144,0.8168,0.0473,0.9327
a10_wide_search_trial_000,transpolymer,0.1,1.0,Eat,390,0.0852,0.0286,0.9428,0.0295,0.9843
a10_wide_search_trial_001,mmpolymer,0.25,0.5,Egc,3380,0.4377,0.0176,0.9214,0.0056,0.9891
a10_wide_search_trial_001,mmpolymer,0.25,0.5,Egb,561,0.5224,0.0387,0.9273,0.0098,0.9788
a10_wide_search_trial_001,mmpolymer,0.25,0.5,Eea,368,0.3078,0.0214,0.9188,0.0110,0.9812
a10_wide_search_trial_001,mmpolymer,0.25,0.5,Ei,370,0.4267,0.0422,0.8075,0.0333,0.9449
a10_wide_search_trial_001,mmpolymer,0.25,0.5,Xc,432,17.7112,1.0806,0.4221,0.1289,0.7202
a10_wide_search_trial_001,mmpolymer,0.25,0.5,EPS,382,0.5358,0.0843,0.7639,0.0419,0.8967
a10_wide_search_trial_001,mmpolymer,0.25,0.5,Nc,382,0.0959,0.0161,0.8333,0.0424,0.9493
a10_wide_search_trial_001,mmpolymer,0.25,0.5,Eat,390,0.0746,0.0342,0.9537,0.0348,0.9896
a10_wide_search_trial_006,transpolymer,0.5,1.0,Egc,3380,0.4382,0.0141,0.9213,0.0033,0.9880
a10_wide_search_trial_006,transpolymer,0.5,1.0,Egb,561,0.5347,0.0510,0.9233,0.0150,0.9815
a10_wide_search_trial_006,transpolymer,0.5,1.0,Eea,368,0.3053,0.0224,0.9203,0.0089,0.9812
a10_wide_search_trial_006,transpolymer,0.5,1.0,Ei,370,0.4317,0.0388,0.8030,0.0318,0.9224
a10_wide_search_trial_006,transpolymer,0.5,1.0,Xc,432,17.7841,1.3916,0.4113,0.1615,0.6976
a10_wide_search_trial_006,transpolymer,0.5,1.0,EPS,382,0.5583,0.0922,0.7415,0.0555,0.8933
a10_wide_search_trial_006,transpolymer,0.5,1.0,Nc,382,0.0990,0.0157,0.8228,0.0416,0.9397
a10_wide_search_trial_006,transpolymer,0.5,1.0,Eat,390,0.0789,0.0331,0.9493,0.0335,0.9890
externalval_long_checkpoint_mmpolymer_both,mmpolymer,0.1,0.5,Egc,3380,0.4365,0.0079,0.9219,0.0018,0.9868
externalval_long_checkpoint_mmpolymer_both,mmpolymer,0.1,0.5,Egb,561,0.5216,0.0325,0.9274,0.0101,0.9770
externalval_long_checkpoint_mmpolymer_both,mmpolymer,0.1,0.5,Eea,368,0.2993,0.0158,0.9233,0.0081,0.9708
externalval_long_checkpoint_mmpolymer_both,mmpolymer,0.1,0.5,Ei,370,0.4391,0.0369,0.7968,0.0279,0.9496
externalval_long_checkpoint_mmpolymer_both,mmpolymer,0.1,0.5,Xc,432,17.6011,0.8483,0.4304,0.1166,0.7418
externalval_long_checkpoint_mmpolymer_both,mmpolymer,0.1,0.5,EPS,382,0.5281,0.0875,0.7712,0.0411,0.8680
externalval_long_checkpoint_mmpolymer_both,mmpolymer,0.1,0.5,Nc,382,0.0955,0.0177,0.8359,0.0438,0.9243
externalval_long_checkpoint_mmpolymer_both,mmpolymer,0.1,0.5,Eat,390,0.0759,0.0271,0.9541,0.0260,0.9877
externalval_long_checkpoint_mmpolymer_original,mmpolymer,0.0,0.0,Egc,3380,0.4393,0.0168,0.9209,0.0049,0.9892
externalval_long_checkpoint_mmpolymer_original,mmpolymer,0.0,0.0,Egb,561,0.5288,0.0498,0.9247,0.0158,0.9788
externalval_long_checkpoint_mmpolymer_original,mmpolymer,0.0,0.0,Eea,368,0.3077,0.0160,0.9191,0.0063,0.9596
externalval_long_checkpoint_mmpolymer_original,mmpolymer,0.0,0.0,Ei,370,0.4286,0.0511,0.8079,0.0279,0.9434
externalval_long_checkpoint_mmpolymer_original,mmpolymer,0.0,0.0,Xc,432,18.2710,1.1478,0.3819,0.1513,0.6744
externalval_long_checkpoint_mmpolymer_original,mmpolymer,0.0,0.0,EPS,382,0.5235,0.0777,0.7747,0.0349,0.8784
externalval_long_checkpoint_mmpolymer_original,mmpolymer,0.0,0.0,Nc,382,0.0968,0.0147,0.8325,0.0312,0.9305
externalval_long_checkpoint_mmpolymer_original,mmpolymer,0.0,0.0,Eat,390,0.0732,0.0280,0.9570,0.0259,0.9911
externalval_long_checkpoint_mmpolymer_translation_only,mmpolymer,0.0,0.5,Egc,3380,0.4393,0.0132,0.9209,0.0034,0.9907
